sample_name	metadata	location
App5_Boston_surface_water1	Boston_surface_water1	Boston
App5_Boston_surface_water2	Boston_surface_water2	Boston
App5_Boston_wastewater1	Boston_wastewater1	Boston
App5_Boston_wastewater2	Boston_wastewater2	Boston
App5_Boston_wastewater3	Boston_wastewater3	Boston
App5_Boston_hospital_wastewater	Boston_hospital_wastewater	Boston
App5_Vellore_surface_water1	Vellore_surface_water1	Vellore
App5_Vellore_surface_water2	Vellore_surface_water2	Vellore
App5_Vellore_surface_water3	Vellore_surface_water3	Vellore
App5_Vellore_wastewater1	Vellore_wastewater1	Vellore
App5_Vellore_wastewater2	Vellore_wastewater2	Vellore
App5_Vellore_hospital_wastewater	Vellore_hospital_wastewater	Vellore
