sample_name	metadata
App3_pt350	mBAL-350-RNA-TA
App3_pt350_water1	mBAL-RNA-water1
App3_pt350_water2	mBAL-RNA-water2
App3_pt11827	EARLI-11827
App3_pt11827_water1	water
App3_pt11827_water2	water
App3_pt11827_water3	water
App3_pt11827_water4	water
